"id","AC","DE","GA","TP","ML"
"Ploopntkinase3","PF18751.4","P-loop Nucleotide Kinase3","27; 27;","Family",184
"PLRV_ORF5","PF01690.20","Potato leaf roll virus readthrough protein","27.4; 27.4;","Family",485
"PLU-1","PF08429.14","PLU-1-like protein","28.5; 28.5;","Family",339
"Plug","PF07715.18","TonB-dependent Receptor Plug Domain","23.9; 23.9;","Domain",108
"Plug_translocon","PF10559.12","Plug domain of Sec61p","22.1; 22.1;","Domain",35
"Plus-3","PF03126.21","Plus-3 domain","27; 27;","Domain",109
"PlyB_C","PF18684.4","Pleurotolysin B C-terminal domain","57.7; 57.7;","Domain",173
"PM0188","PF11477.11","Sialyltransferase PMO188","25; 25;","Family",385
"PMAIP1","PF15150.9","Phorbol-12-myristate-13-acetate-induced","27; 27;","Family",54
"PmbA_TldD","PF01523.19","PmbA/TldA metallopeptidase domain 1","20.9; 20.9;","Domain",66
"PmbA_TldD_C","PF19289.2","PmbA/TldA metallopeptidase C-terminal domain","22; 22;","Domain",220
"PmbA_TldD_M","PF19290.2","PmbA/TldA metallopeptidase central domain","20.9; 20.9;","Domain",113
"PMBR","PF09373.13","Pseudomurein-binding repeat","24.9; 24.9;","Repeat",33
"PMC2NT","PF08066.15","PMC2NT (NUC016) domain","23.3; 23.3;","Domain",92
"PMD","PF10536.12","Plant mobile domain","34.9; 34.9;","Domain",355
"PMEI","PF04043.18","Plant invertase/pectin methylesterase inhibitor","26.7; 26.7;","Domain",154
"PMG","PF05287.15","PMG protein","29; 29;","Family",180
"PMI_typeI_C","PF01238.24","Phosphomannose isomerase type I C-terminal","21; 21;","Domain",48
"PMI_typeI_cat","PF20511.1","Phosphomannose isomerase type I, catalytic domain","22; 22;","Domain",144
"PMI_typeI_hel","PF20512.1","Phosphomannose isomerase type I, helical insertion domain","23.4; 23.4;","Domain",94
"PMM","PF03332.16","Eukaryotic phosphomannomutase","22.4; 22.4;","Family",221
"PMP1_2","PF08114.14","ATPase proteolipid family","22.3; 22.3;","Family",43
"PMP22_Claudin","PF00822.23","PMP-22/EMP/MP20/Claudin family","26.7; 26.7;","Family",166
"Pmp3","PF01679.20","Proteolipid membrane potential modulator","22.9; 22.9;","Family",49
"PMR5N","PF14416.9","PMR5 N terminal Domain","29.2; 29.2;","Domain",54
"PmrD","PF11183.11","Polymyxin resistance protein PmrD","21.2; 21.2;","Family",81
"PMSI1","PF15322.9","Protein missing in infertile sperm 1, putative","29.6; 29.6;","Family",315
"PMSR","PF01625.24","Peptide methionine sulfoxide reductase","22.3; 22.3;","Family",153
"PMT","PF02366.21","Dolichyl-phosphate-mannose-protein mannosyltransferase","22.7; 22.7;","Family",245
"PMT2_N","PF17987.4","Phosphoethanolamine N-methyltransferase 2 N-terminal","27.8; 27.8;","Domain",125
"PMT_2","PF13231.9","Dolichyl-phosphate-mannose-protein mannosyltransferase","26.1; 26.1;","Family",160
"PMT_4TMC","PF16192.8","C-terminal four TMM region of protein-O-mannosyltransferase","32.4; 32.4;","Family",200
"PND","PF17949.4","FANCM pseudonuclease domain","23.6; 23.6;","Domain",125
"Pneumovirus_M2","PF06436.14","Pneumovirus matrix protein 2 (M2)","25; 25;","Family",157
"Pneumo_att_G","PF05539.14","Pneumovirinae attachment membrane glycoprotein G","25; 25;","Family",408
"Pneumo_M2","PF07380.14","Pneumovirus M2 protein","25; 25;","Family",89
"Pneumo_matrix","PF03393.19","Pneumovirus matrix protein","27; 27;","Family",252
"Pneumo_ncap","PF03246.16","Pneumovirus nucleocapsid protein","24.4; 24.4;","Family",392
"Pneumo_NS1","PF03438.16","Pneumovirus NS1 protein","27; 27;","Family",136
"Pneumo_phosprot","PF02478.19","Pneumovirus phosphoprotein","22; 22;","Family",286
"PNGaseA","PF12222.11","Peptide N-acetyl-beta-D-glucosaminyl asparaginase amidase A","22.6; 22.6;","Family",434
"PNISR","PF15996.8","Arginine/serine-rich protein PNISR","27; 27;","Family",182
"PNK3P","PF08645.14","Polynucleotide kinase 3 phosphatase","22; 22;","Family",162
"PNKP-ligase_C","PF16536.8","PNKP adenylyltransferase domain, C-terminal region","25; 25;","Domain",60
"PNKP_ligase","PF16542.8","PNKP adenylyltransferase domain, ligase domain","28.2; 28.2;","Domain",320
"PNMA","PF14893.9","PNMA","25; 25;","Family",328
"PNPase","PF03726.17","Polyribonucleotide nucleotidyltransferase, RNA binding domain","24.6; 24.6;","Domain",83
"PNPase_C","PF12111.11","Polyribonucleotide phosphorylase C terminal","25; 25;","Domain",37
"PnpCD_PnpD_N","PF18191.4","Hydroquinone 1,2-dioxygenase large subunit N-terminal","25; 25;","Domain",151
"PNP_phzG_C","PF10590.12","Pyridoxine 5'-phosphate oxidase C-terminal dimerisation region","27; 27;","Domain",43
"PNP_UDP_1","PF01048.23","Phosphorylase superfamily","25.1; 25.1;","Domain",234
"PNRC","PF15365.9","Proline-rich nuclear receptor coactivator motif","22; 22;","Motif",20
"Pns11_12","PF17464.5","Non-structural protein 11 and 12","25; 25;","Family",203
"PNTB","PF02233.19","NAD(P) transhydrogenase beta subunit","31.7; 31.7;","Family",460
"PNTB_4TM","PF12769.10","4TM region of pyridine nucleotide transhydrogenase, mitoch","26.2; 26.2;","Family",86
"pNTSase1","PF20301.1","Predicted novel nucleotide synthetase","25; 25;","Family",165
"POB3_N","PF17292.5","POB3-like N-terminal PH domain","23; 23;","Domain",93
"POC1","PF10450.12","POC1 chaperone","22; 22;","Family",273
"POC3_POC4","PF10448.12","20S proteasome chaperone assembly proteins 3 and 4","22.1; 22.1;","Family",144
"PocR","PF10114.12","Sensory domain found in PocR","23.9; 23.9;","Domain",162
"Podoplanin","PF05808.14","Podoplanin","30; 30;","Family",135
"Podovirus_Gp16","PF05894.15","Podovirus DNA encapsidation protein (Gp16)","25; 25;","Family",331
"Polbeta","PF18765.4","Polymerase beta, Nucleotidyltransferase","26.9; 26.9;","Domain",93
"PolC_DP2","PF03833.16","DNA polymerase II large subunit DP2","24.3; 24.3;","Family",865
"Pollen_allerg_2","PF01620.19","Ribonuclease (pollen allergen)","28.5; 28.5;","Family",155
"Pollen_Ole_e_1","PF01190.20","Pollen protein Ole e 1 like","23; 23;","Family",99
"POLO_box","PF00659.21","POLO box duplicated region","23; 23;","Family",61
"Polo_box_2","PF18531.4","Polo box domain","31.9; 31.9;","Domain",112
"Polo_box_3","PF18544.4","Polo box domain","34.2; 34.2;","Domain",98
"PolyA_pol","PF01743.23","Poly A polymerase head domain","23; 23;","Domain",126
"PolyA_pol_arg_C","PF12626.10","Polymerase A arginine-rich C-terminus","22; 22;","Domain",120
"PolyA_pol_RNAbd","PF12627.10","Probable RNA and SrmB- binding site of polymerase A","22; 22;","Domain",64
"Polycystin_dom","PF20519.1","Polycystin domain","23.6; 23.6;","Domain",199
"PolyG_pol","PF01518.19","Sigma NS protein","25; 25;","Family",366
"Polyhedrin","PF00738.21","Polyhedrin","25; 25;","Family",232
"Polyketide_cyc","PF03364.23","Polyketide cyclase / dehydrase and lipid transport","23.4; 23.4;","Family",130
"Polyketide_cyc2","PF10604.12","Polyketide cyclase / dehydrase and lipid transport","27.4; 27.4;","Family",142
"Polyoma_agno","PF01736.19","Polyomavirus agnoprotein","27; 27;","Family",62
"Polyoma_coat","PF00718.23","Polyomavirus coat protein","27; 27;","Domain",293
"Polyoma_coat2","PF00761.23","Polyomavirus coat protein","25; 25;","Family",322
"Polyoma_lg_T_C","PF06431.14","Polyomavirus large T antigen C-terminus","22.4; 22.4;","Family",417
"polyprenyl_synt","PF00348.20","Polyprenyl synthetase","27; 27;","Domain",256
"Polysacc_deac_1","PF01522.24","Polysaccharide deacetylase","23.1; 23.1;","Family",124
"Polysacc_deac_2","PF04748.16","Divergent polysaccharide deacetylase","27.5; 27.5;","Family",213
"Polysacc_deac_3","PF15421.9","Putative polysaccharide deacetylase","28.5; 28.5;","Family",423
"Polysacc_lyase","PF14099.9","Polysaccharide lyase","29.9; 29.9;","Family",213
"Polysacc_synt","PF01943.20","Polysaccharide biosynthesis protein","28.2; 28.2;","Family",275
"Polysacc_synt_2","PF02719.18","Polysaccharide biosynthesis protein","20.2; 20.2;","Family",294
"Polysacc_synt_3","PF13440.9","Polysaccharide biosynthesis protein","23; 23;","Family",293
"Polysacc_synt_4","PF04669.16","Polysaccharide biosynthesis","25; 25;","Family",190
"Polysacc_synt_C","PF14667.9","Polysaccharide biosynthesis C-terminal domain","28.7; 28.7;","Family",143
"Polysacc_syn_2C","PF08485.13","Polysaccharide biosynthesis protein C-terminal","25; 25;","Family",48
"Poly_A_pol_cat","PF19244.2","Poly(A) polymerase catalytic subunit","30.2; 30.2;","Family",131
"Poly_export","PF02563.19","Polysaccharide biosynthesis/export protein","28; 28;","Family",82
"Pol_alpha_B_N","PF08418.13","DNA polymerase alpha subunit B N-terminal","23.3; 23.3;","Domain",235
"Pom","PF17251.5","Protochlamydia outer membrane protein","22.4; 22.4;","Domain",285
"POM121","PF15229.9","POM121 family","27; 27;","Family",226
"Pombe_5TM","PF09437.13","Pombe specific 5TM protein","27; 27;","Family",256
"Ponericin","PF07442.14","Ponericin","25; 25;","Family",29
"POP1","PF06978.14","Ribonucleases P/MRP protein subunit POP1","22.2; 22.2;","Family",206
"Popeye","PF04831.16","Popeye protein conserved region","28.1; 28.1;","Family",140
"POPLD","PF08170.15","POPLD (NUC188) domain","26.8; 26.8;","Domain",93
"POR","PF01558.21","Pyruvate ferredoxin/flavodoxin oxidoreductase","27.4; 27.4;","Family",176
"PorA","PF11271.11","Porin PorA","29.5; 29.5;","Family",300
"PorB","PF11565.11","Alpha helical Porin B","22.5; 22.5;","Family",99
"Porin_1","PF00267.24","Gram-negative porin","23.7; 23.7;","Domain",340
"Porin_10","PF14121.9","Putative porin","27; 27;","Family",600
"Porin_2","PF02530.17","Porin subfamily","22; 22;","Family",379
"Porin_3","PF01459.25","Eukaryotic porin","28.4; 28.4;","Family",273
"Porin_4","PF13609.9","Gram-negative porin","27; 27;","Domain",312
"Porin_5","PF16930.8","Putative porin","22; 22;","Family",532
"Porin_6","PF16939.8","Putative porin","27; 27;","Family",282
"Porin_7","PF16956.8","Putative general bacterial porin","26.6; 26.6;","Family",267
"Porin_8","PF16966.8","Porin-like glycoporin RafY","25; 25;","Family",366
"Porin_OmpG","PF09381.13","Outer membrane protein G (OmpG)","26.5; 26.5;","Domain",285
"Porin_OmpG_1_2","PF16946.8","OMPG-porin 1 family","23; 23;","Domain",294
"Porin_OmpL1","PF11389.11","Leptospira porin protein OmpL1","183.1; 183.1;","Family",272
"Porin_O_P","PF07396.14","Phosphate-selective porin O and P","20.9; 20.9;","Family",370
"Porphobil_deam","PF01379.23","Porphobilinogen deaminase, dipyromethane cofactor binding domain","22.1; 22.1;","Domain",208
"Porphobil_deamC","PF03900.18","Porphobilinogen deaminase, C-terminal domain","26; 26;","Domain",75
"Porphyrn_cat_1","PF18206.4","Porphyranase catalytic subdomain 1","27; 27;","Domain",105
"Porph_ging","PF09697.13","Protein of unknown function (Porph_ging)","25; 25;","Family",83
"PorP_SprF","PF11751.11","Type IX secretion system membrane protein PorP/SprF","22.3; 22.3;","Family",273
"PORR","PF11955.11","Plant organelle RNA recognition domain","22.3; 22.3;","Family",326
"Portal_Gp20","PF07230.14","Bacteriophage T4-like portal protein (Gp20)","22.9; 22.9;","Family",432
"PorV","PF19572.2","Type IX secretion system protein PorV","27; 27;","Domain",243
"POR_N","PF01855.22","Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg","27; 27;","Family",231
"Por_Secre_tail","PF18962.3","Secretion system C-terminal sorting domain","27; 27;","Domain",75
"Post_transc_reg","PF13797.9","Post-transcriptional regulator","25; 25;","Family",83
"POT1","PF02765.20","Telomeric single stranded DNA binding POT1/CDC13","29; 29;","Domain",143
"POT1PC","PF16686.8","ssDNA-binding domain of telomere protection protein","27.2; 27.2;","Domain",154
"Potassium_chann","PF11404.11","Potassium voltage-gated channel","20; 20;","Family",29
"Potass_KdpF","PF09604.13","F subunit of K+-transporting ATPase (Potass_KdpF)","21.2; 21.2;","Family",24
"potato_inhibit","PF00280.21","Potato inhibitor I family","24.5; 24.5;","Domain",64
"Potex_coat","PF06184.14","Potexvirus coat protein","25; 25;","Family",153
"POTRA","PF07244.18","Surface antigen variable number repeat","21.3; 21.3;","Domain",80
"POTRA_1","PF08478.13","POTRA domain, FtsQ-type","23; 23;","Domain",69
"POTRA_2","PF08479.14","POTRA domain, ShlB-type","24; 24;","Domain",76
"POTRA_3","PF17287.5","POTRA domain","27; 27;","Domain",56
"POTRA_TamA_1","PF17243.5","POTRA domain TamA domain 1","26; 26;","Domain",77
"Potyvirid-P3","PF13608.9","Protein P3 of Potyviral polyprotein","25.3; 25.3;","Family",452
"Poty_coat","PF00767.21","Potyvirus coat protein","27; 27;","Family",244
"Poty_PP","PF08440.13","Potyviridae polyprotein","23.4; 23.4;","Family",277
"Pou","PF00157.20","Pou domain - N-terminal to homeobox domain","27; 27;","Domain",72
"POU2F1_C","PF19536.2","POU domain, class 2, transcription factor 1 C-terminal","27; 27;","Domain",284
"POX","PF07526.14","Associated with HOX","27; 27;","Domain",136
"Poxvirus_B22R","PF04395.15","Poxvirus B22R protein","25; 25;","Family",210
"Poxvirus_B22R_C","PF13168.9","Poxvirus B22R protein C-terminal","25; 25;","Family",195
"Poxvirus_B22R_N","PF13169.9","Poxvirus B22R protein N-terminal","25.8; 25.8;","Family",89
"Poxv_Bcl-2-like","PF06227.15","Poxvirus Bcl-2-like proteins","23.6; 23.6;","Family",173
"Pox_A11","PF05061.16","Poxvirus A11 Protein","25; 25;","Family",315
"Pox_A12","PF04651.16","Poxvirus A12 protein","25; 25;","Family",183
"Pox_A14","PF05767.15","Poxvirus virion envelope protein A14","27.7; 27.7;","Family",93
"Pox_A21","PF05323.15","Poxvirus A21 Protein","25; 25;","Family",111
"Pox_A22","PF04848.16","Poxvirus A22 protein","22; 22;","Family",145
"Pox_A28","PF04584.17","Poxvirus A28 family","27; 27;","Family",140
"Pox_A30L_A26L","PF06086.15","Orthopoxvirus A26L/A30L protein","23; 23;","Family",220
"Pox_A31","PF05771.14","Poxvirus A31 protein","22.4; 22.4;","Family",113
"Pox_A32","PF04665.15","Poxvirus A32 protein","22.8; 22.8;","Domain",242
"Pox_A3L","PF05288.14","Poxvirus A3L Protein","25; 25;","Family",70
"Pox_A51","PF04948.16","Poxvirus A51 protein","20; 20;","Family",337
"Pox_A6","PF04924.15","Poxvirus A6 protein","21; 21;","Family",370
"Pox_A8","PF04745.15","VITF-3 subunit protein","25; 25;","Family",289
"Pox_A9","PF04835.15","A9 protein conserved region","22.8; 22.8;","Family",53
"Pox_Ag35","PF03286.17","Pox virus Ag35 surface protein","28.3; 28.3;","Family",196
"Pox_ATPase-GT","PF10640.12","mRNA capping enzyme N-terminal, ATPase and guanylyltransferase","25; 25;","Domain",312
"Pox_A_type_inc","PF04508.15","Viral A-type inclusion protein repeat","21.4; 21.4;","Coiled-coil",23
"Pox_B6","PF07389.15","Vaccinia B6 protein","25; 25;","Family",181
"Pox_C4_C10","PF03336.16","Poxvirus C4/C10 protein","25; 25;","Family",322
"Pox_C7_F8A","PF03287.17","Poxvirus C7/F8A protein","25.4; 25.4;","Family",148
"Pox_D2","PF04701.16","Pox virus D2 protein","25; 25;","Family",139
"Pox_D3","PF04580.16","Chordopoxvirinae D3 protein","23; 23;","Family",248
"Pox_D5","PF03288.19","Poxvirus D5 protein-like","21.4; 21.4;","Domain",86
"Pox_E10","PF04805.15","E10-like protein conserved region","27; 27;","Family",70
"Pox_E2-like","PF04497.15","Poxviridae protein","30; 30;","Family",741
"Pox_E6","PF04656.15","Pox virus E6 protein","25; 25;","Family",566
"Pox_E8","PF03394.16","Poxvirus E8 protein","27; 27;","Family",239
"Pox_EPC_I2-L1","PF12575.11","Poxvirus entry protein complex L1 and I2","23.4; 23.4;","Family",72
"Pox_F11","PF04943.15","Poxvirus F11 protein","24.5; 24.5;","Family",409
"Pox_F12L","PF03337.16","Poxvirus F12L protein","25; 25;","Family",648
"Pox_F15","PF04596.15","Poxvirus protein F15","25.7; 25.7;","Family",137
"Pox_F16","PF04708.15","Poxvirus F16 protein","30; 30;","Family",215
"Pox_F17","PF04767.15","DNA-binding 11 kDa phosphoprotein","25; 25;","Family",94
"Pox_G5","PF04599.15","Poxvirus G5 protein","27; 27;","Family",425
"Pox_G7","PF05503.15","Poxvirus G7-like","27; 27;","Family",367
"Pox_G9-A16","PF03003.19","Pox virus entry-fusion-complex G9/A16","24; 24;","Family",128
"Pox_H7","PF04787.15","Late protein H7","28.2; 28.2;","Family",143
"Pox_I1","PF03289.16","Poxvirus protein I1","25; 25;","Family",307
"Pox_I3","PF04661.15","Poxvirus I3 ssDNA-binding protein","24; 24;","Family",262
"Pox_I5","PF04713.15","Poxvirus protein I5","25; 25;","Family",75
"Pox_I6","PF04595.16","Poxvirus I6-like family","27; 27;","Family",321
"Pox_int_trans","PF05718.15","Poxvirus intermediate transcription factor","22; 22;","Family",383
"Pox_J1","PF03338.18","Poxvirus J1 protein","27; 27;","Family",146
"Pox_L3_FP4","PF03339.17","Poxvirus L3/FP4 protein","25; 25;","Family",316
"Pox_L5","PF04872.16","Poxvirus L5 protein family","24; 24;","Family",79
"Pox_LP_H2","PF03356.18","Viral late protein H2","27.6; 27.6;","Family",188
"Pox_M2","PF04887.15","Poxvirus M2 protein","25; 25;","Family",196
"Pox_MCEL","PF03291.19","mRNA capping enzyme","24; 24;","Family",333
"Pox_mRNA-cap","PF03341.16","Poxvirus mRNA capping enzyme, small subunit","25; 25;","Family",286
"Pox_P21","PF05313.15","Poxvirus P21 membrane protein","27; 27;","Family",189
"Pox_P35","PF03213.17","Poxvirus P35 protein","22.3; 22.3;","Family",323
"Pox_P4A","PF03395.17","Poxvirus P4A protein","25; 25;","Family",882
"Pox_P4B","PF03292.17","Poxvirus P4B major core protein","25; 25;","Family",657
"Pox_polyA_pol","PF03296.16","Poxvirus poly(A) polymerase nucleotidyltransferase domain","22.6; 22.6;","Domain",148
"Pox_polyA_pol_C","PF12629.10","Poxvirus poly(A) polymerase C-terminal domain","27; 27;","Domain",201
"Pox_polyA_pol_N","PF12630.10","Poxvirus poly(A) polymerase N-terminal domain","27; 27;","Domain",108
"Pox_Rap94","PF03294.17","RNA polymerase-associated transcription specificity factor, Rap94","25; 25;","Family",800
"Pox_Rif","PF03340.16","Poxvirus rifampicin resistance protein","26.3; 26.3;","Family",541
"Pox_RNA_pol","PF03293.17","Poxvirus DNA-directed RNA polymerase, 18 kD subunit","25; 25;","Family",160
"Pox_RNA_Pol_19","PF05320.15","Poxvirus DNA-directed RNA polymerase 19 kDa subunit","25.4; 25.4;","Family",166
"Pox_RNA_Pol_22","PF05273.16","Poxvirus RNA polymerase 22 kDa subunit","25; 25;","Family",184
"Pox_RNA_pol_35","PF03396.18","Poxvirus DNA-directed RNA polymerase, 35 kD subunit","25; 25;","Family",293
"Pox_ser-thr_kin","PF05445.14","Poxvirus serine/threonine protein kinase","19.7; 19.7;","Family",434
"Pox_T4_C","PF04490.15","Poxvirus T4 protein, C terminus","25; 25;","Family",146
"Pox_T4_N","PF04491.15","Poxvirus T4 protein, N terminus","25; 25;","Family",46
"Pox_TAA1","PF03295.17","Poxvirus trans-activator protein A1 C-terminal","27; 27;","Family",63
"Pox_TAP","PF03355.17","Viral Trans-Activator Protein","25; 25;","Family",260
"Pox_VERT_large","PF04441.16","Poxvirus early transcription factor (VETF), large subunit","25; 25;","Family",697
"Pox_vIL-18BP","PF05566.15","Orthopoxvirus interleukin 18 binding protein","22; 22;","Family",126
"Pox_VLTF3","PF04947.17","Poxvirus Late Transcription Factor VLTF3 like","25; 25;","Family",168
"Pox_VP8_L4R","PF04498.15","Poxvirus nucleic acid binding protein VP8/L4R","25; 25;","Family",217
"PP-binding","PF00550.28","Phosphopantetheine attachment site","20.8; 20.8;","Domain",67
"PP-binding_2","PF14573.9","Acyl-carrier","32; 32;","Domain",96
"PP1","PF07430.14","Phloem filament protein PP1 cystatin-like domain","20.4; 20.4;","Domain",78
"PP1c_bdg","PF10488.12","Phosphatase-1 catalytic subunit binding region","26.1; 26.1;","Domain",287
"PP1_bind","PF15276.9","Protein phosphatase 1 binding","27; 27;","Family",62
"PP1_inhibitor","PF05361.15","PKC-activated protein phosphatase-1 inhibitor","22.4; 22.4;","Family",141
"PP2","PF14299.9","Phloem protein 2","25; 25;","Family",146
"PP28","PF10252.12","Casein kinase substrate phosphoprotein PP28","25; 25;","Domain",85
"PP2C","PF00481.24","Protein phosphatase 2C","20.3; 20.3;","Family",258
"PP2C_2","PF13672.9","Protein phosphatase 2C","24; 24;","Family",210
"PP2C_C","PF07830.16","Protein serine/threonine phosphatase 2C, C-terminal domain","28.5; 28.5;","Domain",80
"PP4R3","PF04802.18","Phosphatase 4 regulatory subunit 3","27; 27;","Family",191
"PPAK","PF02818.18","PPAK motif","21; 21;","Motif",27
"PPARgamma_N","PF12577.11","PPAR gamma N-terminal region","25; 25;","Family",84
"PPC","PF04151.18","Bacterial pre-peptidase C-terminal domain","25.9; 25.9;","Domain",71
"PPDFL","PF15060.9","Differentiation and proliferation regulator","27; 27;","Family",110
"PPDK_N","PF01326.22","Pyruvate phosphate dikinase, AMP/ATP-binding domain","27; 27;","Family",328
"PPE","PF00823.22","PPE family","28.2; 28.2;","Family",158
"PPE-PPW","PF18878.3","PPE-PPW subfamily C-terminal region","27; 27;","Family",48
"PPE-SVP","PF12484.11","PPE-SVP subfamily C-terminal region","23; 23;","Family",80
"PPIP5K2_N","PF18086.4","Diphosphoinositol pentakisphosphate kinase 2 N-terminal domain","35; 35;","Domain",90
"pPIWI_RE_REase","PF18154.4","REase associating with pPIWI_RE","26.1; 26.1;","Domain",117
"pPIWI_RE_X","PF13111.9","pPIWI_RE module N-terminal domain","30.5; 30.5;","Domain",400
"pPIWI_RE_Y","PF18156.4","pPIWI_RE three-gene island domain Y","26.7; 26.7;","Domain",144
"pPIWI_RE_Z","PF18155.4","pPIWI RE three-gene island domain Z","25; 25;","Domain",167
"PPI_Ypi1","PF07491.14","Protein phosphatase inhibitor","27; 27;","Family",60
"PPK2","PF03976.17","Polyphosphate kinase 2 (PPK2)","22.3; 22.3;","Domain",229
"PPL4","PF18188.4","Prim-pol 4","25; 25;","Family",159
"PPL5","PF18168.4","Prim-pol family 5","26.2; 26.2;","Family",337
"Ppnp","PF06865.14","Pyrimidine/purine nucleoside phosphorylase","25; 25;","Domain",92
"PPO1_DWL","PF12142.11","Polyphenol oxidase middle domain","20.8; 20.8;","Domain",52
"PPO1_KFDV","PF12143.11","Protein of unknown function (DUF_B2219)","26; 26;","Domain",130
"PPP1R26_N","PF15740.8","Protein phosphatase 1 regulatory subunit 26 N-terminus","27; 27;","Family",864
"PPP1R32","PF15691.8","Protein phosphatase 1 regulatory subunit 32","27; 27;","Family",422
"PPP1R35_C","PF15503.9","Protein phosphatase 1 regulatory subunit 35 C-terminus","27; 27;","Family",140
"PPP4R2","PF09184.14","PPP4R2","27.4; 27.4;","Family",258
"PPP5","PF08321.15","PPP5 TPR repeat region","23.5; 23.5;","Repeat",94
"PPPI_inhib","PF14895.9","Protein phosphatase 1 inhibitor","25; 25;","Family",346
"PPR","PF01535.23","PPR repeat","25; 9.3;","Repeat",31
"PPR_1","PF12854.10","PPR repeat","23.8; 23.8;","Repeat",34
"PPR_2","PF13041.9","PPR repeat family","30; 30;","Repeat",50
"PPR_3","PF13812.9","Pentatricopeptide repeat domain","25; 15.7;","Repeat",63
"PPR_long","PF17177.7","Pentacotripeptide-repeat region of PRORP","27; 27;","Repeat",212
"PPS_PS","PF02006.19","Phosphopantothenate/pantothenate synthetase","26.4; 26.4;","Family",176
"PPTA","PF01239.25","Protein prenyltransferase alpha subunit repeat","29.5; 17;","Repeat",32
"Pput2613-deam","PF14427.9","Pput_2613-like deaminase","25; 25;","Family",118
"PPV_E1_C","PF00519.20","Papillomavirus helicase","26.5; 26.5;","Domain",289
"PPV_E1_DBD","PF20450.1","Papillomavirus E1, DNA-binding domain","25; 25;","Domain",140
"PPV_E1_N","PF00524.21","E1 Protein, N terminal domain","22.5; 22.5;","Family",121
"PPV_E2_C","PF00511.20","E2 (early) protein, C terminal","25; 25;","Domain",80
"PPV_E2_N","PF00508.20","E2 (early) protein, N terminal","27; 27;","Family",200
"Ppx-GppA","PF02541.19","Ppx/GppA phosphatase family","27; 27;","Family",285
"PP_kinase","PF02503.20","Polyphosphate kinase middle domain","25; 25;","Domain",202
"PP_kinase_C","PF13090.9","Polyphosphate kinase C-terminal domain 2","25.8; 25.8;","Domain",172
"PP_kinase_C_1","PF17941.4","Polyphosphate kinase C-terminal domain 1","25.7; 25.7;","Domain",167
"PP_kinase_N","PF13089.9","Polyphosphate kinase N-terminal domain","23.8; 23.8;","Domain",107
"PP_M1","PF03012.17","Phosphoprotein","24; 24;","Family",296
"pP_pnuc_1","PF18165.4","Predicted pPIWI-associating nuclease","26.3; 26.3;","Domain",133
"pP_pnuc_2","PF18166.4","Predicted pPIWI-associating nuclease","25; 25;","Domain",122
"PQ-loop","PF04193.17","PQ loop repeat","22; 22;","Repeat",61
"PqiA","PF04403.16","Paraquat-inducible protein A","23.8; 23.8;","Family",156
"PQQ","PF01011.24","PQQ enzyme repeat","20.3; 20.1;","Repeat",38
"PqqA","PF08042.14","PqqA family","21.1; 21.1;","Family",19
"PqqD","PF05402.15","Coenzyme PQQ synthesis protein D (PqqD)","23.4; 23.4;","Family",67
"PQQ_2","PF13360.9","PQQ-like domain","27.6; 19.7;","Repeat",237
"PQQ_3","PF13570.9","PQQ-like domain","22; 18;","Repeat",40
"PRA-CH","PF01502.21","Phosphoribosyl-AMP cyclohydrolase","27; 27;","Family",74
"PRA-PH","PF01503.20","Phosphoribosyl-ATP pyrophosphohydrolase","21.3; 21.3;","Family",83
"PRA1","PF03208.22","PRA1 family protein","30.1; 30.1;","Family",143
"PRAI","PF00697.25","N-(5'phosphoribosyl)anthranilate (PRA) isomerase","22.7; 22.7;","Domain",193
"PRANC","PF09372.13","PRANC domain","25.8; 25.8;","Domain",97
"PRAP","PF15314.9","Proline-rich acidic protein 1, pregnancy-specific uterine","27; 27;","Family",45
"PRAS","PF15798.8","Proline-rich AKT1 substrate 1","27; 27;","Family",123
"PRC","PF05239.19","PRC-barrel domain","21.2; 21.2;","Domain",79
"PRC2_HTH_1","PF18118.4","Polycomb repressive complex 2 tri-helical domain","24.2; 24.2;","Domain",101
"PrcB_C","PF14343.9","PrcB C-terminal","24; 24;","Family",58
"PRCC","PF10253.12","Mitotic checkpoint regulator, MAD2B-interacting","24.3; 24.3;","Family",209
"PRCH","PF03967.16","Photosynthetic reaction centre, H-chain N-terminal region","27; 27;","Family",132
"PRD","PF00874.23","PRD domain","23; 23;","Domain",90
"Prd1-P2","PF09214.14","Bacteriophage Prd1, adsorption protein P2","25; 25;","Family",555
"PRD1_DD","PF11087.11","PRD1 phage membrane DNA delivery","25; 25;","Family",54
"PRD1_P5_C","PF08949.13","Bacteriophage PRD1, spike protein P5, C-terminal","25; 25;","Domain",219
"PRD1_P5_spike_N","PF08948.13","Bacteriophage PRD1, P5, spike N-terminal","25; 25;","Domain",126
"PRD_Mga","PF08270.14","M protein trans-acting positive regulator (MGA) PRD domain","23; 23;","Family",220
"Pre-PUA","PF17832.4","Pre-PUA-like domain","23.5; 23.5;","Domain",87
"Pre-SET","PF05033.19","Pre-SET motif","29.1; 29.1;","Family",110
"PreAtp-grasp","PF18604.4","Pre ATP-grasp domain","27.5; 27.5;","Domain",94
"preATP-grasp_3","PF18301.4","pre ATP-grasp 3 domain","26.3; 26.3;","Domain",76
